id	name
10045	Remote Desktop Connection 6.1 Client
10046	Remote Desktop Connection 7.0 Client
10458	Remote Desktop Connection 8.0 Client
10624	Remote Server Administration Tools
10115	SharePoint Foundation 2010 Service Pack 1
10417	SharePoint Foundation 2013
10625	SharePoint Server 2013 Client Components SDK (32-bit version)
10626	SharePoint Server 2013 Client Components SDK (64-bit version)
10150	soft Office 2007 Service Pack 3
10297	Speech Server 2004
9238	VBScript 5.6
9414	VBScript 5.7
9415	VBScript 5.8
10192	Visual Basic 6.0 Runtime
10483	Windows 2012 R2
10543	Windows 2012 R2 (Server Core installation)
9303	Windows 7 for 32-bit Systems
9303	Windows 7 for 32-bit Systems 
10047	Windows 7 for 32-bit Systems  Service Pack 1
10047	Windows 7 for 32-bit Systems Service Pack 1
10047	Windows 7 for 32-bit Systems Service Pack 1 
10048	Windows 7 for 64-bit Systems Service Pack 1 
9345	Windows 7 for x64-based Systems
9345	Windows 7 for x64-based Systems 
10048	Windows 7 for x64-based Systems Service Pack 1
10048	Windows 7 for x64-based Systems Service Pack 1 
10375	Windows 8 Embedded Standard for 32-bit Systems
10376	Windows 8 Embedded Standard for 64-bit Systems
10373	Windows 8 for 32-bit Systems
10373	Windows 8 for 32-bit Systems 
10374	Windows 8 for 64-bit Systems
10374	Windows 8 for 64-bit Systems 
10374	Windows 8 for 64-bit Systems(KB2789649)
10374	Windows 8 for x64-based Systems
10281	Windows 8 Release Preview for 32-bit systems
10282	Windows 8 Release Preview for x64-based systems
10373	Windows 8 with Windows Media Center for 32-bit Systems
10374	Windows 8 with Windows Media Center for x64-based Systems
10481	Windows 8.1 for 32-bit Systems
10482	Windows 8.1 for 64-bit Systems
10482	Windows 8.1 for x64-based Systems
10477	Windows 8.1 with Windows Media Center for 32-bit Systems
10478	Windows 8.1 with Windows Media Center for x64-based Systems
10031	Windows Data Access Components 6.0
251	Windows Defender for Windows 7 for 32-bit Systems 
251	Windows Defender for Windows 7 for 32-bit Systems Service Pack 1
251	Windows Defender for Windows 7 for x64-based Systems Service Pack 1
251	Windows Defender for Windows 8 for 32-bit Systems
251	Windows Defender for Windows 8 for 64-bit Systems
251	Windows Defender for Windows RT
